X,Y,FID
8.56795,44.35257,ports_harbor.272
-81.19841,23.15953,ports_harbor.273
140.312,49.093,ports_harbor.274
-123.0868,49.30356,ports_harbor.275
4.87376,52.88337,ports_harbor.276
-71.61369,-33.03416,ports_harbor.277
17.17474,61.19051,ports_harbor.278
-74.095,45.2235,ports_harbor.279
14.5084,35.8935,ports_harbor.280
1.866105,41.23818,ports_harbor.281
-0.316466,39.44231,ports_harbor.282
-146.3413,61.10609,ports_harbor.283
0.1513209,40.87474,ports_harbor.284
14.4965,45.02724,ports_harbor.285
-149.7775,-17.5225,ports_harbor.286
-6.807,61.4695,ports_harbor.287
12.7055,67.657,ports_harbor.288
8.448772,44.26389,ports_harbor.289
69.675,22.4545,ports_harbor.290
19.11869,47.78255,ports_harbor.291
21.553,63.0845,ports_harbor.292
-0.9168165,60.68842,ports_harbor.293
132.5481,33.22447,ports_harbor.294
21.3889,60.79515,ports_harbor.295
5.0875,52.0945,ports_harbor.296
-86.89954,16.09435,ports_harbor.297
9.585,63.7295,ports_harbor.298
131.8102,33.12724,ports_harbor.299
140.9454,41.93507,ports_harbor.300
-77.93216,9.134512,ports_harbor.301
28.32951,59.68294,ports_harbor.302
-68.2835,-54.8095,ports_harbor.303
134.1555,34.61131,ports_harbor.304
132.0111,33.86386,ports_harbor.305
133.4455,33.44566,ports_harbor.306
5.6201,52.66078,ports_harbor.307
133.9539,34.49178,ports_harbor.308
14.24303,44.63529,ports_harbor.309
55.19347,25.14863,ports_harbor.310
47.973,30.02737,ports_harbor.311
13.51893,45.43196,ports_harbor.312
129.3828,35.51106,ports_harbor.313
19.2038,41.92285,ports_harbor.314
141.0417,37.48269,ports_harbor.315
19.0756,47.56041,ports_harbor.316
5.70652,53.00277,ports_harbor.317
4.712245,52.53047,ports_harbor.318
5.07401,52.42737,ports_harbor.319
138.773,34.85083,ports_harbor.320
135.9749,33.65478,ports_harbor.321
142.0284,49.0715,ports_harbor.322
6.6685,51.3505,ports_harbor.323
-125.5385,48.9415,ports_harbor.324
140.1916,35.12284,ports_harbor.325
136.8665,34.73731,ports_harbor.326
134.2934,34.4714,ports_harbor.327
131.4742,31.75587,ports_harbor.328
135.0823,33.91125,ports_harbor.329
16.82211,42.74705,ports_harbor.330
131.2181,33.94432,ports_harbor.331
-45.11759,-23.50151,ports_harbor.332
140.274,35.13637,ports_harbor.333
-1.478782,54.99869,ports_harbor.334
-87.5645,44.1455,ports_harbor.335
-91.6715,47.013,ports_harbor.336
-6.809,61.5535,ports_harbor.337
29.29471,40.83438,ports_harbor.338
-97.35947,20.97971,ports_harbor.339
78.19487,8.781893,ports_harbor.340
22.22697,60.4385,ports_harbor.341
53.10287,39.83929,ports_harbor.342
50.15658,40.35799,ports_harbor.343
27.25688,37.00221,ports_harbor.344
-76.73453,8.078817,ports_harbor.345
15.40998,43.96749,ports_harbor.346
10.453,55.9487,ports_harbor.347
-79.55278,21.63437,ports_harbor.348
-78.75691,1.808281,ports_harbor.349
28.80513,45.19313,ports_harbor.350
-40.24303,-20.28571,ports_harbor.351
132.5149,33.98095,ports_harbor.352
134.7799,34.41534,ports_harbor.353
133.2969,34.38804,ports_harbor.354
134.9094,34.43371,ports_harbor.355
136.5247,34.71104,ports_harbor.356
134.7028,34.7749,ports_harbor.357
129.7278,33.35599,ports_harbor.358
134.2508,34.29516,ports_harbor.359
136.5463,34.65756,ports_harbor.360
22.84545,39.16787,ports_harbor.361
-85.95184,15.92291,ports_harbor.362
-5.733334,43.5,ports_harbor.363
17.5525,58.89,ports_harbor.364
-4.680257,55.54801,ports_harbor.365
10.3875,63.438,ports_harbor.366
19.01035,69.667,ports_harbor.367
-61.64613,15.96834,ports_harbor.368
16.24887,43.513,ports_harbor.369
-12.27791,-37.11431,ports_harbor.370
35.81543,34.4687,ports_harbor.371
23.07637,39.15285,ports_harbor.372
13.7641,45.63788,ports_harbor.373
6.655655,49.75476,ports_harbor.374
11.37451,53.99233,ports_harbor.375
13.1505,55.37,ports_harbor.376
-3.221586,48.78621,ports_harbor.377
-4.340114,48.09818,ports_harbor.378
-122.3708,37.82216,ports_harbor.379
-85.619,44.767,ports_harbor.380
10.872,53.948,ports_harbor.381
12.2715,57.058,ports_harbor.382
12.50562,38.012,ports_harbor.383
-50.14997,-29.98185,ports_harbor.384
12.0935,66.498,ports_harbor.385
141.0762,41.74369,ports_harbor.386
141.7745,44.56509,ports_harbor.387
136.9363,34.70483,ports_harbor.388
146.832,-19.249,ports_harbor.389
5.917785,43.11811,ports_harbor.390
-74.24767,40.51564,ports_harbor.391
135.0923,33.98924,ports_harbor.392
2.933232,41.71769,ports_harbor.393
127.7757,26.18999,ports_harbor.394
-6.7673,62.0065,ports_harbor.395
-0.6865109,37.97023,ports_harbor.396
-49.72588,-29.3273,ports_harbor.397
1.402363,41.13493,ports_harbor.398
-9.24942,38.67009,ports_harbor.399
-4.193344,50.37542,ports_harbor.400
-79.35651,43.63,ports_harbor.401
5.158534,60.11394,ports_harbor.402
-109.0696,25.59272,ports_harbor.403
131.377,31.51651,ports_harbor.404
134.1786,34.48367,ports_harbor.405
-0.8940668,45.94223,ports_harbor.406
6.92,62.589,ports_harbor.407
133.3825,34.38092,ports_harbor.408
141.029,37.33574,ports_harbor.409
134.6828,33.93197,ports_harbor.410
